slug,distillery,name,image_url,
glenmorangie-quinta-ruban-14,Glenmorangie,Glenmorangie Quinta Ruban 14,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenmorangie-quinta-ruban-14.jpg,
glenmorangie-glenmorangie-quinta-ruban-14-year-old,Glenmorangie,Glenmorangie Quinta Ruban 14 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenmorangie-the-lasanta-12-years-aged-in-bourbon-sherry-casks-5010494917840.jpg,
glenmorangie-the-lasanta-12-years-aged-in-bourbon-sherry-casks-5010494917840,Glenmorangie,The Lasanta 12 Years Aged in Bourbon & Sherry Casks,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenmorangie-the-lasanta-12-years-aged-in-bourbon-sherry-casks-5010494917840.jpg,
golan-golani-classic,Golan Heights Distillery,Golani Classic,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/golan-ramat-hagolan-sc47.jpg,
golan-ramat-hagolan-sc47,Golan Heights Distillery,Ramat HaGolan Single Cask #47,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/golan-ramat-hagolan-sc47.jpg,
grants-blended-scotch-whisky-5010327255026,Grant's,Blended Scotch Whisky,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/grants-whisky-5010327208237.jpg,
grants-glenfiddich-single-malt-scotch-whisky-5010327307244,Grant's,Glenfiddich Single Malt Scotch Whisky,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/grants-whisky-5010327208237.jpg,
grants-triple-wood-blended-scotch-whisky-5010327250007,Grant's,Grant's Triple Wood Blended Scotch Whisky,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/grants-whisky-5010327208237.jpg,
grants-summer-orange-5010327253848,Grant's,Summer orange,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/grants-whisky-5010327208237.jpg,
grants-whisky-5010327208237,Grant's,Whisky,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/grants-whisky-5010327208237.jpg,
grants-whisky-ecosse-blended-sans-ge-150-cl-grants-5010327202105,Grant's,Whisky Ecosse blended sans âge 150 cl Grant's,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/grants-whisky-5010327208237.jpg,
hakushu-12-standard,Hakushu,Hakushu 12 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/hakushu-12-standard.jpg,
hakushu-hakushu-12-year-old,Hakushu,Hakushu 12 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/hakushu-12-standard.jpg,
hakushu-hakushu-18-year-old,Hakushu,Hakushu 18 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/hakushu-12-standard.jpg,
hakushu-distillers-reserve-std,Hakushu,Hakushu Distiller's Reserve,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/hakushu-12-standard.jpg,
the-hakushu-4901777254695,Hakushu,The Hakushu,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/hakushu-12-standard.jpg,
halewood-international-triple-distilled-irish-whiskey-5391524712476,Halewood International,Triple Distilled Irish Whiskey,,
hibiki-21-standard,Hibiki,Hibiki 21 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/hibiki-21-standard.jpg,
hibiki-harmony-standard,Hibiki,Hibiki Japanese Harmony,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/hibiki-21-standard.jpg,
highland-park-dragon-legend-5010314305277,Highland park,Dragon Legend,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/highland-park-highland-park-12-year-old-viking-honour.jpg,
highland-park-12-standard,Highland park,Highland Park 12 Viking Honour,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/highland-park-highland-park-12-year-old-viking-honour.jpg,
highland-park-highland-park-12-year-old-viking-honour,Highland park,Highland Park 12 Year Old Viking Honour,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/highland-park-highland-park-12-year-old-viking-honour.jpg,
highland-park-18-standard,Highland park,Highland Park 18 Viking Pride,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/highland-park-18-standard.jpg,
highland-park-highland-park-18-year-old-viking-pride,Highland park,Highland Park 18 Year Old Viking Pride,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/highland-park-highland-park-12-year-old-viking-honour.jpg,
ian-macleod-single-malt-whisky-5010852010701,Ian Macleod,Single Malt Whisky,,
irish-whisky-0050037596038,Irish Whisky,Irish Whisky,,
j-b-quot-1-5l-whisky-j-b-rare-40-quot-5010103804073,J&B,&quot;1.5L Whisky J &B Rare 40 °&quot;,,
j-b-5010103800457,J&B,J&B,,
rare-blended-scotch-whisky-5010103800259,JB,Rare blended scotch whisky,,
jack-daniels-bourbon-whiskey-5099873089712,Jack Daniel's,Bourbon Whiskey,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/jack-daniels-jack-daniels-5099873019573.jpg,
jack-daniel-green-86-0082184090060,Jack Daniel's,Jack Daniel Green 86,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/jack-daniels-jack-daniels-5099873019573.jpg,
jack-daniels-jack-daniels-gentleman-jack,Jack Daniel's,Jack Daniel's Gentleman Jack,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/jack-daniels-jack-daniels-5099873019573.jpg,
jack-daniels-lynchburg-lemonade-5099873010280,Jack Daniel's,Jack Daniel's Lynchburg Lemonade,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/jack-daniels-jack-daniels-5099873019573.jpg,
jack-daniels-jack-daniels-lynchburg-lemonade-5099873010280,Jack Daniel's,Jack Daniel's Lynchburg Lemonade,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/jack-daniels-jack-daniels-5099873019573.jpg,
jack-daniels-no-7-brand-tennessee-whiskey-sour-mash-0082184090398,Jack Daniel's,Jack Daniel's No. 7 Brand Tennessee Whiskey Sour Mash,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/jack-daniels-jack-daniels-5099873019573.jpg,
jack-daniels-jack-daniels-old-no-7,Jack Daniel's,Jack Daniel's Old No. 7,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/jack-daniels-jack-daniels-5099873019573.jpg,
